#,,,,,,,,
Bo Horvat,Center,Apr 5 1995,London ONT,6,223,L,,
2012-13,Florida Panthers,40,3,9,12,11,,
2013-14,Columbus Blue Jackets,16,4,0,4,6,,
2014-15,Columbus Blue Jackets,45,6,2,8,16,,
2015-16,Colorado Avalanche,74,8,6,14,11,,
2016-17,Vancouver Canucks,55,5,4,9,12,,
#,,,,,,,,
Nikita Tryamkin,Defense,Aug 30 1994,Yekaterinburg Russia,6.07,265,R,,
2015-16,Vancouver Canucks,13,1,1,2,10,-3,
2016-17,Vancouver Canucks,66,2,7,9,64,-7,"	"
#,,,,,,,,
Jayson Megna,Center,Feb 1 1990,Ft. Lauderdale FL ,6.01,195,R,,
2013-14,Pittsburgh Penguins,36,5,4,9,6,,
2014-15,Pittsburgh Penguins,12,0,1,1,14,,
2015-16,New York Rangers,6,1,1,2,2,,
2016-17,Vancouver Canucks,58,4,4,8,6,,
#,,,,,,,,
Michael Chaput,Center,Apr 9 1992,Ile Bizard PQ,6.02,204,L,,
2013-14,Columbus Blue Jackets,17,0,1,1,2,,
2014-15,Columbus Blue Jackets,33,1,4,5,21,,
2015-16,Columbus Blue Jackets,8,1,1,2,5,,
2016-17,Vancouver Canucks,68,4,4,8,29,,
#,,,,,,,,
Reid Boucher,Left Wing,Sep 8 1993,Lansing MI,5.1,195,L,,
2013-14,New Jersey Devils,23,2,5,7,4,,
2014-15,New Jersey Devils,11,1,0,1,0,,
2015-16,New Jersey Devils,39,8,11,19,6,,
2016-17,Vancouver Canucks,27,5,2,7,6,,
#,,,,,,,,
Philip Larsen,Defense,Dec 7 1989,Esbjerg Denmark,6.01,183,R,,
2011-12,Dallas Stars,55,3,8,11,16,11,
2012-13,Dallas Stars,32,2,3,5,18,-10,
2013-14,Edmonton Oilers,30,3,9,12,8,-4,
2016-17,Vancouver Canucks,26,1,5,6,4,-8,
#,,,,,,,,
Erik Gudbranson,Defense,Jan 7 1992,Ottawa ONT,6.05,216,R,,
2011-12,Florida Panthers,72,2,6,8,78,-19,
2012-13,Florida Panthers,32,0,4,4,47,-22,
2013-14,Florida Panthers,65,3,6,9,114,-7,
2014-15,Florida Panthers,76,4,9,13,58,-4,
2015-16,Florida Panthers,64,2,7,9,49,3,
2016-17,Vancouver Canucks,30,1,5,6,18,-14,
#,,,,,,,,
Brock Boeser,Right Wing,Feb 25 1997,Burnsville MN,6.01,191,R,,
2016-17,Vancouver Canucks,9,4,1,5,0,,
#,,,,,,,,
Brendan Gaunce,Center,Mar 25 1994,Sudbury ONT,6.02,217,L,,
2015-16,Vancouver Canucks,20,1,0,1,2,,
